empty_col`id`name`short_effect
0`1`Stench,Has a 10% chance of making target Pokémon flinch with each hit.
0`2`Drizzle,Summons rain that lasts indefinitely upon entering battle.
0`3`Speed Boost,Raises speed one stage after each turn.
0`4`Battle Armor,Protects against critical hits.
0`5`Sturdy,Prevents being KOed from full HP, leaving 1 HP instead.  Protects against the one-hit KO moves regardless of HP.
0`6`Damp,Prevents self-destruct, explosion, and aftermath from working while the Pokémon is in battle.
0`7`Limber,Prevents paralysis.
0`8`Sand Veil,Increases evasion to 1.25× during a sandstorm.  Protects against sandstorm damage.
0`9`Static,Has a 30% chance of paralyzing attacking Pokémon on contact.
0`10`Volt Absorb,Absorbs electric moves, healing for 1/4 max HP.
0`11`Water Absorb,Absorbs water moves, healing for 1/4 max HP.
0`12`Oblivious,Prevents infatuation and protects against captivate.
0`13`Cloud Nine,Negates all effects of weather, but does not prevent the weather itself.
0`14`Compound Eyes,Increases moves' accuracy to 1.3×.
0`15`Insomnia,Prevents sleep.
0`16`Color Change,Changes type to match when hit by a damaging move.
0`17`Immunity,Prevents poison.
0`18`Flash Fire,Protects against fire moves.  Once one has been blocked, the Pokémon's own Fire moves inflict 1.5× damage until it leaves battle.
0`19`Shield Dust,Protects against incoming moves' extra effects.
0`20`Own Tempo,Prevents confusion.
0`21`Suction Cups,Prevents being forced out of battle by other Pokémon's moves.
0`22`Intimidate,Lowers opponents' attack one stage upon entering battle.
0`23`Shadow Tag,Prevents opponents from fleeing or switching out.
0`24`Rough Skin,Damages attacking Pokémon for 1/8 their max HP on contact.
0`25`Wonder Guard,Protects against damaging moves that are not super effective.
0`26`Levitate,Evades ground moves.
0`27`Effect Spore,Has a 30% chance of inflcting either paralysis, poison, or sleep on attacking Pokémon on contact.
0`28`Synchronize,Copies burns, paralysis, and poison received onto the Pokémon that inflicted them.
0`29`Clear Body,Prevents stats from being lowered by other Pokémon.
0`30`Natural Cure,Cures any major status ailment upon switching out.
0`31`Lightning Rod,Redirects single-target electric moves to this Pokémon where possible.  Absorbs Electric moves, raising special attack one stage.
0`32`Serene Grace,Doubles the chance of moves' extra effects occurring.
0`33`Swift Swim,Doubles speed during rain.
0`34`Chlorophyll,Doubles speed during strong sunlight.
0`35`Illuminate,Doubles the wild encounter rate.
0`36`Trace,Copies an opponent's ability upon entering battle.
0`37`Huge Power,Doubles attack in battle.
0`38`Poison Point,Has a 30% chance of poisoning attacking Pokémon on contact.
0`39`Inner Focus,Prevents flinching.
0`40`Magma Armor,Prevents freezing.
0`41`Water Veil,Prevents burns.
0`42`Magnet Pull,Prevents steel opponents from fleeing or switching out.
0`43`Soundproof,Protects against sound-based moves.
0`44`Rain Dish,Heals for 1/16 max HP after each turn during rain.
0`45`Sand Stream,Summons a sandstorm that lasts indefinitely upon entering battle.
0`46`Pressure,Increases the PP cost of moves targetting the Pokémon by one.
0`47`Thick Fat,Halves damage from fire and ice moves.
0`48`Early Bird,Makes sleep pass twice as quickly.
0`49`Flame Body,Has a 30% chance of burning attacking Pokémon on contact.
0`50`Run Away,Ensures success fleeing from wild battles.
0`51`Keen Eye,Prevents accuracy from being lowered.
0`52`Hyper Cutter,Prevents attack from being lowered by other Pokémon.
0`53`Pickup,Picks up other Pokémon's used and flung held items.  May also pick up an item after battle.
0`54`Truant,Skips every second turn.
0`55`Hustle,Strengthens physical moves to inflict 1.5× damage, but decreases their accuracy to 0.8×.
0`56`Cute Charm,Has a 30% chance of infatuating attacking Pokémon on contact.
0`57`Plus,Increases special attack to 1.5× when a friendly Pokémon has plus or minus.
0`58`Minus,Increases special attack to 1.5× when a friendly Pokémon has plus or minus.
0`59`Forecast,Changes Castform's type and form to match the weather.
0`60`Sticky Hold,Prevents a held item from being removed by other Pokémon.
0`61`Shed Skin,Has a 33% chance of curing any major status ailment after each turn.
0`62`Guts,Increases attack to 1.5× with a major status ailment.
0`63`Marvel Scale,Increases defense to 1.5× with a major status ailment.
0`64`Liquid Ooze,Damages opponents using leeching moves for as much as they would heal.
0`65`Overgrow,Strengthens grass moves to inflict 1.5× damage at 1/3 max HP or less.
